path,size_bytes,status,mode,bad_member,error
archive/notebook_and_closure_packages/NTX_EXTERNAL_MULTI_BENCHMARK_PACKAGE.zip,11220,PASS,testzip,,
archive/notebook_and_closure_packages/NTX_EXTERNAL_MULTI_BENCHMARK_V2_FIXED_PACKAGE.zip,8609,PASS,testzip,,
archive/notebook_and_closure_packages/NTX_FINAL_EXTERNAL_EXPERIMENT_COMPLETION_PACKAGE.zip,12246,PASS,testzip,,
archive/notebook_and_closure_packages/NTX_LOCAL_OPEN_WEIGHT_EXTERNAL_BENCHMARK_CLOSURE.zip,13943,PASS,testzip,,
archive/notebook_and_closure_packages/NTX_LOCAL_OPEN_WEIGHT_EXTERNAL_BENCHMARK_CLOSURE_FIXED.zip,14206,PASS,testzip,,
archive/notebook_and_closure_packages/NTX_OPENAI_GEMINI_GROQ_CLOSURE_NOTEBOOKS.zip,15375,PASS,testzip,,
archive/notebook_and_closure_packages/NTX_PAPER_CLOSURE_FINAL_PACKAGE.zip,310571,PASS,testzip,,
archive/notebook_and_closure_packages/NTX_T4_LOCAL_EXTERNAL_BENCHMARK_CLOSURE.zip,15612,PASS,testzip,,
archive/notebook_and_closure_packages/NTX_T4_LOCAL_EXTERNAL_BENCHMARK_CLOSURE_V2.zip,15892,PASS,testzip,,
archive/notebook_and_closure_packages/NiyamTrace-X_ICLR_TACL_Final_Notebooks_Package.zip,3462683,PASS,testzip,,
archive/notebook_and_closure_packages/NiyamTrace_X_Q1_Four_Parallel_Notebooks.zip,20910,PASS,testzip,,
archive/notebook_and_closure_packages/NiyamTrace_X_Q1_Wave2_Four_Parallel_Notebooks.zip,292358,PASS,testzip,,
archive/notebook_and_closure_packages/NiyamTrace_X_Q1_Wave3_Five_Notebooks.zip,312791,PASS,testzip,,
archive/original_run_archives/NiyamTrace-X_FINAL_PAPER_ALL_NOTEBOOKS_RESULTS_GITHUB.zip,19609327,PASS,testzip,,
archive/original_run_archives/NiyamTrace-X_GitHub_Complete_Research_History_2026-09-14.zip,44207043,PASS,testzip,,
archive/original_run_archives/local_gpu_attempt_v1_failed.zip,24372,PASS,testzip,,
archive/original_run_archives/local_gpu_attempt_v2_failed.zip,70639,PASS,testzip,,
archive/original_run_archives/local_t4_latest_original.zip,356072,PASS,testzip,,
archive/paper_evolution/NiyamTrace-X_AUDITED_ALL_FORMATS_PACKAGE.zip,4626576,PASS,testzip,,
archive/paper_evolution/NiyamTrace-X_Draft_Wave2_Updated_Source.zip,1151620,PASS,testzip,,
archive/paper_evolution/NiyamTrace-X_Draft_With_Q1_Results_Source.zip,271999,PASS,testzip,,
archive/paper_evolution/NiyamTrace-X_Draft_With_Recovered_Raw_Results_Source.zip,875426,PASS,testzip,,
archive/paper_evolution/PRE_TAU3_All_Three_Formats_Source.zip,2954519,PASS,testzip,,
paper/NiyamTrace-X_CURRENT_EVIDENCE_All_Three_Formats_Source.zip,1255169,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_21_PUBLISHED_REFERENCES_FINAL_2026-09-16.zip,5111164,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_AUTHORS_RESULTS_REFERENCES_FINAL_2026-09-16.zip,2517450,PASS,testzip,,
