path,size_bytes,sha256,code_cells,markdown_cells,syntax_error_cells
notebooks/closure_and_local_validation/NTX_01_PROVIDER_PREFLIGHT_OPENAI_GEMINI_GROQ.ipynb,9785,7359d00b090755e09b8afe92c11269d281f3ccedf1657d2f1a6d5b830dc74998,6,1,0
notebooks/closure_and_local_validation/NTX_02_MULTI_PROVIDER_PAPER_CLOSURE_FINAL.ipynb,44639,6a653cc66103d6ded9464b93ccfc4271b4135c54107ffbc24c185a6b7cb8f6cf,18,4,0
notebooks/closure_and_local_validation/NTX_LOCAL_OPEN_WEIGHT_EXTERNAL_BENCHMARK_CLOSURE.ipynb,48522,9087c7753aeb77b24db006f369c87cacfcb0f9f52148b76d68bed42899c66eb9,10,1,0
notebooks/closure_and_local_validation/NTX_LOCAL_OPEN_WEIGHT_EXTERNAL_BENCHMARK_CLOSURE_FIXED.ipynb,53077,b7c5bd45945fb7a92dbb8aff13b48c25fcda556abc0c935370f1fa18cf5f6f92,11,1,0
notebooks/closure_and_local_validation/NTX_PAPER_CLOSURE_FINAL_NOTEBOOK.ipynb,58713,95f76bc1bef4a4d5177bf42251f2277f47a6f37aa424a677f49e31c809a2e367,20,5,0
notebooks/closure_and_local_validation/NTX_Q1_14_ICLR_TACL_Final_Validation_top_level_copy.ipynb,25390,8df52f089eae90f4a6c29f7da0d89a061237ebb9a2351178a4d50d0b3e73b129,11,6,0
notebooks/closure_and_local_validation/NTX_Q1_15_Paper_Finisher_All_Formats_top_level_copy.ipynb,16607,52339a48316ebb51148a7faabe776537700852cc2e13bc157074b2992770634a,11,1,0
notebooks/closure_and_local_validation/NTX_T4_LOCAL_EXTERNAL_BENCHMARK_CLOSURE.ipynb,61726,75af17c9ea9bfb563a3f27f02af1c297e5d8f0e9655b28fa729e97d70ce3f79b,19,1,0
notebooks/closure_and_local_validation/NTX_T4_LOCAL_EXTERNAL_BENCHMARK_CLOSURE_V2.ipynb,63957,8d687c28f280238fbcf9f59a00cf2ed4cb500ef50c48e1a587d41fbe12b63d72,19,1,0
notebooks/closure_and_local_validation/free_tier_preflight_package/NTX_FREE_TIER_PREFLIGHT_2_CELLS.ipynb,12646,b080e26f1548c2265b49b2cb81ff602d5121a093f0c7552868912644b242051c,2,1,0
notebooks/external_validation/NTX_EXTERNAL_MULTI_BENCHMARK_TESTING.ipynb,45062,d28c30e8cb9a4822c48f396fe3801703ac4127d9a31343f6fb448d3b364bd3dd,17,9,0
notebooks/external_validation/NTX_EXTERNAL_MULTI_BENCHMARK_TESTING_V2_FIXED.ipynb,29783,5fc4e11bba363105fa4d45112dec66cb9500d7f5dfb2ece2ca8d1ebf523d7975,13,6,0
notebooks/external_validation/NTX_FINAL_EXTERNAL_EXPERIMENT_COMPLETION.ipynb,38321,51588345ca52b2d8d872ef57e4c76be4df57e0476c3d89018c33c160e8bf4b47,15,6,0
notebooks/stage_01_15/NTX_Q1_01_Semantic_Anchor_Stress.ipynb,18214,7c65b9c7177f8463ed2ac9ddb83b02a73d5c27890361715111eae4928a74c787,8,1,1
notebooks/stage_01_15/NTX_Q1_02_SIL_IIEA_Ablations.ipynb,13932,08240a3f86deb055cd3d2d7802c8b2e4924bf8f22efff03cd3c851e575a81e87,7,1,1
notebooks/stage_01_15/NTX_Q1_03_Verified_Execution_Broker.ipynb,20071,6c76acf8522cd29c8909a33fd454295a1de9f5f24e4804903fd55e2c2b637b27,8,1,1
notebooks/stage_01_15/NTX_Q1_04_Statistics_Reproducibility.ipynb,16349,0e00a2a9cd4091020ecf63f0f76499a68d83e704ba3c57425192621d643cfee4,10,1,1
notebooks/stage_01_15/NTX_Q1_05_Frozen_Runtime_Ablation.ipynb,18130,909d056dd8290815f0f997b7c463cb3e1033fea6a8906505618c92406c475ae2,11,1,0
notebooks/stage_01_15/NTX_Q1_06_Metamorphic_Semantic_Attack_Lab.ipynb,21259,10488424db8e788f763ffd447bf063066dfcb77c6cd3d42df25edf98c0df5507,11,1,0
notebooks/stage_01_15/NTX_Q1_07_Verified_Execution_Broker_V2.ipynb,21927,ae54b2be7ede658c2facdbb61da8a765136f2211ab4470841f410c19ddf494b0,11,1,0
notebooks/stage_01_15/NTX_Q1_08_Risk_Calibrated_Selective_Authorization.ipynb,21755,601eb6cf0b1c19df936c6739c26bbe4795d3d7c467fb3e49b534970d65205366,13,1,0
notebooks/stage_01_15/NTX_Q1_09_Anchor_Lock_V3_Hardening.ipynb,22431,104abf6e1e7cc832a30698583406a8ba35d6557620d7c8f8b33d30ecb5f088cd,12,1,0
notebooks/stage_01_15/NTX_Q1_10_BFCL_MLCL_MultiModel_External.ipynb,14143,c1630f874c2f02d0f803f65598cb2c980c49e0f5ee11bf308acbb5d2d57a39cb,10,1,0
notebooks/stage_01_15/NTX_Q1_10_BFCL_MLCL_MultiModel_External_FIXED.ipynb,23497,eceabfc2a0003dfb5cd2c9dc57653d69d530ad0b9bf81a0594f8e4f7a5e341e4,10,1,0
notebooks/stage_01_15/NTX_Q1_11_AgentDojo_AgentSafetyBench_Transfer.ipynb,14964,d4a3ceab14dd8fd343771988fce68d251da764e5837d934ccb6dc19969bbcae7,10,1,0
notebooks/stage_01_15/NTX_Q1_11_AgentDojo_AgentSafetyBench_Transfer_FIXED.ipynb,20820,bb99c3606055200433aa4df3fc56fb2b5a7f78cf6be7e20e9745a781144c1b4b,10,1,0
notebooks/stage_01_15/NTX_Q1_12_Tau3_Stateful_MultiModel_Transfer.ipynb,13174,54c9c43509d8c56c1085f7fad3f7c768b458816c14a7f7bb0424b91595f3879f,10,1,0
